3,86,FULL
11168,32721,FULL
56648,68245,FULL
71240,74814,FULL
77374,80974,FULL
80974,87412,FULL
5,1443,FULL
15942,24612,FULL
25319,43945,FULL
50943,67837,FULL
75411,82202,FULL
101626,106996,FULL
107785,108239,FULL
108239,110801,FULL
9,2949,FULL
3675,24905,FULL
25033,26153,FULL
26809,28156,FULL
49617,54030,FULL
57021,58509,FULL
66085,66436,FULL
74726,85098,FULL
87627,87748,FULL
105279,111346,FULL
10,25466,FULL
35057,36783,FULL
37373,38422,FULL
42172,51318,FULL
53093,69857,FULL
71509,77396,FULL
78799,81550,FULL
100747,110182,FULL
11,3579,FULL
27161,27620,FULL
32080,37071,FULL
39475,60802,FULL
62505,64289,FULL
75468,77017,FULL
79810,85500,FULL
85631,86778,FULL
89647,108243,FULL
13,1961,FULL
10076,15220,FULL
44002,46048,FULL
59603,60605,FULL
64683,67071,FULL
76695,91318,FULL
99702,104193,FULL
16,8238,FULL
16617,21776,FULL
35177,36083,FULL
41556,45102,FULL
56296,77421,FULL
80711,86533,FULL
91455,98555,FULL
100615,103058,FULL
103058,103325,FULL
17,13279,FULL
19045,26089,FULL
33568,33745,FULL
38582,48048,FULL
68880,69664,FULL
72355,73115,FULL
73600,85609,FULL
104681,108020,FULL
18,1521,FULL
11938,12832,FULL
27636,31993,FULL
32819,43449,FULL
45134,59650,FULL
93034,100569,FULL
104540,109935,FULL
109935,110557,FULL
21,11323,FULL
11633,45790,FULL
63163,88823,FULL
23,12868,FULL
16282,19345,FULL
19449,42378,FULL
55200,62490,FULL
64395,67400,FULL
74162,76392,FULL
78663,79985,FULL
81585,82644,FULL
100480,108212,FULL
24,1800,FULL
7684,7871,FULL
14354,19622,FULL
20538,21975,FULL
29548,57965,FULL
60474,72859,FULL
74785,78134,FULL
83140,107869,FULL
107869,111848,FULL
27,18804,FULL
20735,28352,FULL
31649,45817,FULL
45891,46464,FULL
56957,61360,FULL
68061,68179,FULL
69844,70541,FULL
28,15001,FULL
16874,26440,FULL
34661,48992,FULL
51457,51512,FULL
61322,71327,FULL
77502,80072,FULL
82873,95519,FULL
100371,106856,FULL
29,16849,FULL
23163,31263,FULL
36450,41194,FULL
42113,62828,FULL
76307,79352,FULL
82329,83384,FULL
85440,96261,FULL
96261,101544,FULL
32,1142,FULL
4636,12201,FULL
27834,42863,FULL
48233,65850,FULL
67066,84288,FULL
84470,90457,FULL
90457,99217,FULL
33,3794,FULL
21352,21971,FULL
24106,30678,FULL
45560,51601,FULL
51645,60736,FULL
63818,68711,FULL
73362,84526,FULL
98602,102983,FULL
102983,110891,FULL
34,6263,FULL
11949,20167,FULL
21589,36191,FULL
42680,43612,FULL
53777,64688,FULL
71907,90424,FULL
92392,92714,FULL
97732,106032,FULL
37,1237,FULL
14044,35473,FULL
37865,41825,FULL
44511,45525,FULL
47263,56623,FULL
72040,78334,FULL
90060,96317,FULL
100636,104096,FULL
42,9727,FULL
24990,27293,FULL
30780,47847,FULL
52854,66769,FULL
67612,68683,FULL
85871,88415,FULL
91392,102243,FULL
102243,110153,FULL
44,9161,FULL
41215,43189,FULL
55101,56554,FULL
64699,73061,FULL
76048,81794,FULL
96607,99339,FULL
102203,103442,FULL
106222,109590,FULL
46,4957,FULL
31070,46917,FULL
58332,61170,FULL
63180,71236,FULL
77344,80384,FULL
80774,88590,FULL
88590,91202,FULL
47,2392,FULL
2696,30413,FULL
45250,46735,FULL
51039,53444,FULL
54935,55960,FULL
66145,72490,FULL
73298,74407,FULL
100476,110941,FULL
48,6976,FULL
9230,21200,FULL
27268,38970,FULL
51110,58240,FULL
58859,76272,FULL
86254,89616,FULL
89616,111171,FULL
51,7585,FULL
19544,38824,FULL
40878,41475,FULL
42656,58694,FULL
58933,66156,FULL
76621,88462,FULL
99871,107140,FULL
107140,109328,FULL
52,3862,FULL
6163,6942,FULL
7355,11086,FULL
14487,24849,FULL
29236,40837,FULL
56942,81109,FULL
84868,85164,FULL
92902,95547,FULL
98348,108506,FULL
56,15489,FULL
25394,35295,FULL
36138,36544,FULL
37269,44273,FULL
65516,70414,FULL
84430,89285,FULL
90519,94389,FULL
99557,99687,FULL
101659,109776,FULL
57,1855,FULL
10127,33633,FULL
40629,40933,FULL
44860,45397,FULL
47540,68396,FULL
71614,73439,FULL
76338,85889,FULL
95371,101373,FULL
110213,111630,FULL
58,12878,FULL
15877,16442,FULL
17858,26540,FULL
44670,69276,FULL
80949,82349,FULL
83365,88384,FULL
96211,101031,FULL
101650,108104,FULL
108104,110667,FULL
59,17365,FULL
39990,42454,FULL
68739,71627,FULL
86440,86643,FULL
100778,104181,FULL
60,301,FULL
9741,30621,FULL
45291,45614,FULL
53084,62743,FULL
63634,70572,FULL
74218,100164,FULL
100400,102441,FULL
103156,103850,FULL
61,6742,FULL
18155,20405,FULL
24402,33390,FULL
39659,43300,FULL
